Nq,Norma_diferencia,EigH_cosenos,Diferencia_cos_Fourier
40,1.211096e+03,"-724.717799;-679.592711;-575.032695;-365.673316;1.659507","-724.967799;-680.939333;-579.669185;-375.792921;-16.136456"
80,1.412667e+02,"-101.815840;-76.371108;-36.206417;-2.648269;58.632724","-102.065840;-77.717731;-40.842908;-12.767873;40.836760"
160,4.577797e+01,"0.529648;2.858342;7.561614;14.825587;63.211338","0.279648;1.511719;2.925123;4.705982;45.415374"
200,4.578054e+01,"0.539664;2.865038;7.567778;14.835335;63.212232","0.289664;1.518415;2.931287;4.715731;45.416269"
500,4.578054e+01,"0.539678;2.865048;7.567787;14.835350;63.212234","0.289678;1.518425;2.931296;4.715746;45.416270"
1000,4.578054e+01,"0.539678;2.865048;7.567787;14.835350;63.212234","0.289678;1.518425;2.931296;4.715746;45.416270"
